Reporting Date,Commodity,Type,Centre,State,Country,Low (Rs/Qtl),High (Rs/Qtl)
21-10-2024,Soybean ,Plant,Indore,Madhya Pradesh,India,4540,4650
21-10-2024,Soybean ,Mandi,Indore,Madhya Pradesh,India,4345,4485
21-10-2024,Soybean ,Plant,Nagpur,Maharashtra,India,4560,4635
21-10-2024,Soybean ,Mandi,Nagpur,Maharashtra,India,4085,4440
21-10-2024,Soybean ,Mandi,Latur,Maharashtra,India,4350,4500
21-10-2024,Soybean ,Mandi,Akola,Maharashtra,India,3680,4615
21-10-2024,Soybean ,Plant,Kota,Rajasthan,India,4570,4615
21-10-2024,Soybean ,Mandi,Kota,Rajasthan,India,4520,4565
21-10-2024,Soybean ,Plant,Bundi,Rajasthan,India,4600,4650
21-10-2024,Soybean ,Mandi,Bundi,Rajasthan,India,4000,4300
21-10-2024,Soybean ,Plant,Baran,Rajasthan,India,4540,4590
21-10-2024,Soybean ,Mandi,Baran,Rajasthan,India,4440,4485
21-10-2024,Soybean ,Plant,Bhawani/Jhalawar,Rajasthan,India,4550,4600
21-10-2024,Soybean,Mandi,Bhawani/Jhalawar,Rajasthan,India,4500,4550
21-10-2024,Rapeseed/Mustard,0,Jaipur (Condition),Rajasthan,India,6560,6590
21-10-2024,Rapeseed/Mustard,0,Alwar (Condition),Rajasthan,India,6140,6185
21-10-2024,Rapeseed/Mustard,0,Sri Ganganagar (Non-Cond),Rajasthan,India,5475,5840
21-10-2024,Rapeseed/Mustard,0,New Delhi (Condition),Delhi,India,6340,6385
21-10-2024,Rapeseed/Mustard,0,Kota (Condition),Rajasthan,India,6440,6485
21-10-2024,Rapeseed/Mustard,0,Agra (Condition),Uttar Pradesh,India,6890,6940
21-10-2024,Rapeseed/Mustard,0,Neewai (Loose),Rajasthan,India,5990,6040
21-10-2024,Rapeseed/Mustard,0,Hapur (UP) (Condition),Uttar Pradesh,India,6290,6335
21-10-2024,Groundnut,Shell,Rajkot,Gujarat,India,5065,6010
21-10-2024,Groundnut,Shell,Bikaner,Rajasthan,India,5500,6500
21-10-2024,Groundnut,Bold,Bikaner,Rajasthan,India,8700,8800
19-10-2024,Soyabean,Plant,Indore,Madhya Pradesh,India,4550,4660
19-10-2024,Soyabean,Mandi,Indore,Madhya Pradesh,India,4350,4500
19-10-2024,Soyabean,Plant,Nagpur,Maharashtra,India,4575,4650
19-10-2024,Soyabean,Mandi,Nagpur,Maharashtra,India,4100,4450
19-10-2024,Soyabean,Mandi,Latur,Maharashtra,India,4350,4500
19-10-2024,Soyabean,Mandi,Akola,Maharashtra,India,3700,4625
19-10-2024,Soyabean,Plant,Kota,Rajasthan,India,4575,4625
19-10-2024,Soyabean,Mandi,Kota,Rajasthan,India,4525,4575
19-10-2024,Soyabean,Plant,Bundi,Rajasthan,India,4600,4650
